time,bitcoins
2009/1/3 0:00,50
2009/1/5 0:00,50
2009/1/7 0:00,50
2009/1/9 0:00,750
2009/1/11 0:00,7600
2009/1/13 0:00,17800
2009/1/15 0:00,30450
2009/1/17 0:00,41650
2009/1/19 0:00,52650
2009/1/21 0:00,64100
2009/1/23 0:00,71200
2009/1/25 0:00,90850
2009/1/27 0:00,101800
2009/1/29 0:00,113050
2009/1/31 0:00,125550
2009/2/2 0:00,137700
2009/2/4 0:00,150650
2009/2/6 0:00,163150
2009/2/8 0:00,176150
2009/2/10 0:00,188900
2009/2/12 0:00,201350
2009/2/14 0:00,214600
2009/2/16 0:00,226850
2009/2/18 0:00,238950
2009/2/20 0:00,251200
2009/2/22 0:00,262750
2009/2/24 0:00,273650
2009/2/26 0:00,283800
2009/2/28 0:00,295050
2009/3/2 0:00,305550
2009/3/4 0:00,316150
2009/3/6 0:00,327350
2009/3/8 0:00,338500
2009/3/10 0:00,349400
2009/3/12 0:00,360700
2009/3/14 0:00,372200
2009/3/16 0:00,384250
2009/3/18 0:00,395500
2009/3/20 0:00,407500
2009/3/22 0:00,416100
2009/3/24 0:00,427950
2009/3/26 0:00,439400
2009/3/28 0:00,450850
2009/3/30 0:00,462700
2009/4/1 0:00,473700
2009/4/3 0:00,485350
2009/4/5 0:00,497450
2009/4/7 0:00,508150
2009/4/9 0:00,518300
2009/4/11 0:00,529550
2009/4/13 0:00,541050
2009/4/15 0:00,553000
2009/4/17 0:00,564900
2009/4/19 0:00,576950
2009/4/21 0:00,588950
2009/4/23 0:00,599000
2009/4/25 0:00,610750
2009/4/27 0:00,621450
2009/4/29 0:00,633450
2009/5/1 0:00,646200
2009/5/3 0:00,658050
2009/5/5 0:00,670750
2009/5/7 0:00,683650
2009/5/9 0:00,694300
2009/5/11 0:00,703350
2009/5/13 0:00,715450
2009/5/15 0:00,729250
2009/5/17 0:00,741200
2009/5/19 0:00,752400
2009/5/21 0:00,762050
2009/5/23 0:00,766550
2009/5/25 0:00,776950
2009/5/27 0:00,788850
2009/5/29 0:00,799350
2009/5/31 0:00,810400
2009/6/2 0:00,818500
2009/6/4 0:00,825350
2009/6/6 0:00,829400
2009/6/8 0:00,833200
2009/6/10 0:00,842050
2009/6/12 0:00,851250
2009/6/14 0:00,858450
2009/6/16 0:00,866200
2009/6/18 0:00,874100
2009/6/20 0:00,882650
2009/6/22 0:00,890400
2009/6/24 0:00,898450
2009/6/26 0:00,906600
2009/6/28 0:00,913400
2009/6/30 0:00,921550
